year,eu28,ro
2003,20682.84577404744,2431.0011846486805
2004,21631.454084589026,2837.391249962479
2005,22492.47035416222,3732.13819208119
2006,23688.817424679997,4598.528786919105
2007,25026.95624920734,5902.770038176564
2008,25076.111721889,6773.069270081694
2009,23528.619300177266,5782.501128897878
2010,24508.66270714089,6126.1218024445125
2011,25172.624539103002,6509.115102837216
2012,25684.076530390055,6547.518222037863
2013,25843.874829753535,7105.123587455271
