year,eu28,ro
2003,490815046,21627509
2004,492709300,21521142
2005,494774599,21382354
2006,496633373,21257016
2007,498408547,21130503
2008,500418320,20635460
2009,502186144,20440290
2010,503379305,20294683
2011,504961522,20199059
2012,504582506,20095996
2013,505674965,20020074
2014,507416607,19942642
