indic_na,unit,geo\time	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 
B1GM,MIO_EUR,PT	140566.8 	143471.7 	149312.5 	154268.7 	160855.4 	169319.2 	171983.1 	168529.2 	172859.5 	171126.2 	165107.4 	165690.0 
B1GM,MIO_EUR,RO	48614.9 	52576.5 	61063.9 	79801.9 	97751.0 	124728.5 	139765.4 	118196.0 	124327.7 	131478.0 	131578.9 	142245.1 
B1GM,MIO_EUR,RS	16024.3 	17289.5 	18993.6 	20285.3 	23327.4 	28473.9 	32678.9 	28951.9 	27967.8 	31472.4 	29601.0 	31988.0 
B1GM,MIO_EUR,SE	266739.8 	278914.0 	291634.1 	298353.3 	318170.8 	337944.2 	333255.7 	292472.1 	349945.1 	385450.7 	407820.3 	420849.1 
B1GM,MIO_EUR,SI	24597.1 	25819.2 	27227.5 	28730.9 	31050.7 	34593.6 	37244.4 	35420.2 	35484.6 	36150.0 	35318.6 	35274.9 
B1GM,MIO_EUR,SK	25971.7 	29489.2 	33994.6 	38489.1 	44501.7 	54810.8 	64413.5 	62794.4 	65897.0 	68974.2 	71096.0 	72134.1 
B1GM,MIO_EUR,TR	243440.2 	268330.7 	314584.4 	386936.8 	419232.1 	471972.2 	498601.7 	440367.3 	550362.8 	555100.2 	612404.8 	617793.9 
B1GM,MIO_EUR,UK	1719805.0 	1659740.7 	1787298.5 	1867129.3 	1979497.7 	2086519.9 	1836125.5 	1590858.0 	1731809.0 	1770909.6 	1921904.9 	1899098.0 
B1GM,MIO_EUR,US	11609031.3 	10175654.2 	9868076.2 	10524636.3 	11035281.9 	10563735.9 	10007207.0 	10337467.7 	11287923.4 	11147916.7 	12580323.8 	12625630.6 
B1GM,MIO_PPS,AT	209957.8 	214461.6 	225671.9 	231228.6 b	245870.6 	256088.5 	258866.4 	245914.2 	258390.8 	271142.0 	279282.2 	280948.8 
B1GM,MIO_PPS,BE	264752.0 	265046.3 	273167.8 	281900.6 b	293540.5 	306988.8 	309495.5 	298314.3 	320492.0 	331042.5 	338929.1 	339136.7 
B1GM,MIO_PPS,BG	50858.5 	54174.9 	58028.1 	63453.6 b	69325.1 	76656.4 	82798.2 	78057.6 	81235.8 	85769.3 	88570.1 	86970.7 
B1GM,MIO_PPS,CH	215120.3 	213898.1 	223064.3 	229750.8 b	249015.2 	273866.0 	286188.5 	274338.2 	289288.8 	305268.4 	319387.7 	325736.2 
B1GM,MIO_PPS,CY	12845.1 	13140.5 	14284.9 	15389.2 b	16528.5 	18049.0 	19545.7 	18942.5 	19596.0 	19980.3 	20175.3 	19192.9 
B1GM,MIO_PPS,CZ	152911.1 	161503.2 	172329.6 	181909.5 b	194165.6 	212935.3 	210608.7 b	203251.8 	207149.6 	213551.3 	217215.2 	216058.4 
B1GM,MIO_PPS,DE	1930483.8 	1973569.3 	2059022.1 	2144537.4 b	2246243.2 	2370262.6 	2378859.7 	2205153.0 	2388519.8 	2520692.7 	2578598.7 	2623529.0 
B1GM,MIO_PPS,DK	141001.6 	138347.9 	146680.0 	150343.2 b	159309.0 	166894.5 	170781.0 	159730.4 	173049.4 	175303.1 	179591.4 	180281.7 
B1GM,MIO_PPS,EA	7086773.8 	7160772.7 	7451948.4 	7780550.4 b	8215190.7 	8753870.2 	8823794.9 	8401552.8 	8789467.1 	9077716.1 	9216390.7 	9249662.2 
B1GM,MIO_PPS,EA17	7213229.1 	7292218.7 	7593649.9 	7933932.4 b	8382244.7 	8894671.8 	8944879.6 	8421560.2 	8810373.4 	9077716.1 	9216390.7 	9249662.2 
B1GM,MIO_PPS,EA18	7232781.1 	7312991.0 	7616420.7 	7958851.7 b	8410069.4 	8926195.5 	8976673.8 	8448693.8 	8838581.6 	9108591.6 	9249707.8 	9284512.5 
B1GM,MIO_PPS,EE	13897.0 	15302.7 	16770.8 	18628.9 b	20935.4 	23479.1 	23095.3 	20024.7 	21146.1 	23247.5 	24466.7 	25158.8 
B1GM,MIO_PPS,EL	202365.9 	211105.2 	223946.0 	225957.4 b	242566.0 	251750.6 	259641.4 	248989.8 	241372.2 	226299.1 	216446.6 	212519.3 
B1GM,MIO_PPS,ES	849362.0 	878699.4 	933346.2 	995205.1 b	1090823.5 	1173982.6 	1180970.1 	1110907.8 	1116948.3 	1120566.8 	1125305.7 	1124623.6 
B1GM,MIO_PPS,EU27	9936061.4 	10101204.8 	10604123.6 	11071747.3 b	11703972.6 	12406448.1 	12478546.0 	11751578.2 	12274073.5 	12646149.6 	12893051.2 	13002068.9 
B1GM,MIO_PPS,EU28	9983702.3 	10151451.9 	10658018.6 	11128703.0 b	11764657.3 	12473648.9 	12548545.7 	11815746.6 	12337153.6 	12711206.8 	12959735.7 	13068600.5 
B1GM,MIO_PPS,FI	122099.2 	121432.7 	131266.1 	134637.6 b	141857.7 	154993.8 	157924.3 	143398.8 	149601.1 	156547.0 	159190.6 	156249.4 
B1GM,MIO_PPS,FR	1453918.5 	1427686.8 	1480833.5 	1555089.2 b	1619311.0 	1712960.8 	1710262.3 	1646220.4 	1723382.2 	1782411.0 	1814550.7 	1830084.8 
B1GM,MIO_PPS,HR	47603.1 	50247.0 	53894.3 	56918.4 b	60690.6 	67205.9 	69960.0 	64124.6 	63071.6 	65049.3 	66512.4 	66475.8 
B1GM,MIO_PPS,HU	127079.7 	131100.6 	137558.6 	143100.4 b	149792.7 	154262.6 	160065.3 	153394.1 	161131.3 	168114.1 	168604.7 	170039.7 
B1GM,MIO_PPS,IE	111038.8 	116930.9 	125379.8 	134762.5 b	146677.3 	160421.2 	147850.9 	136723.1 	142986.0 	147828.7 	150968.9 	149440.5 
B1GM,MIO_PPS,IS	7622.4 	7509.5 	8297.6 	8652.4 b	8863.5 	9379.3 	9839.9 	9006.5 	8882.6 	9167.6 	9420.0 	9701.7 
B1GM,MIO_PPS,IT	1313183.5 	1325113.9 	1346442.3 	1385183.1 b	1456388.6 	1542292.4 	1558452.8 	1465515.0 	1516520.4 	1546510.9 	1561306.5 	1541281.8 
B1GM,MIO_PPS,JP	2960574.9 	3008629.3 	3157142.9 	3250735.4 	3301107.6 	3459993.7 	3347957.3 	3055572.3 	3295583.2 	3298255.4 	3450397.3 	3470683.9 
B1GM,MIO_PPS,LT	31428.9 	35213.9 	37636.7 	40704.3 b	44518.9 	49976.2 	51465.8 	43008.4 	46862.8 	51287.0 	54639.2 	56474.6 
B1GM,MIO_PPS,LU	21886.8 	23117.2 	25007.5 	26548.5 b	30151.8 	32880.4 	32186.6 	29477.7 	32490.6 	34642.8 	35684.8 	37036.2 
B1GM,MIO_PPS,LV	19488.8 	20754.7 	22767.5 	24909.8 b	27769.4 	31515.2 	31791.6 	27116.2 	28242.5 	30934.2 	33314.1 	34840.1 
B1GM,MIO_PPS,ME	: 	: 	: 	4315.3 	5261.4 	6233.1 	6703.1 	6101.9 	6300.1 	6594.7 	6435.2 	: 
B1GM,MIO_PPS,MK	10411.5 	11006.3 	11999.2 	13409.6 b	14565.8 	15744.8 	17178.7 	17334.7 	18218.9 	18511.6 	18639.6 	: 
B1GM,MIO_PPS,MT	6666.9 	6775.5 	6912.8 	7271.6 b	7532.4 	7960.0 	8308.0 	8181.8 	8832.8 	9011.6 	9266.9 	9604.1 
